ID;Faixa Horário;Mês do Fato;Ano do Fato;Dia da Semana;CONSUMAÇÃO;QUALIFICACAO_CATEGORIA;GRUPO NATUREZA;Faixa Etária;PROFISSAO;SEXO;Cor;Grau de Instrução;RISP
423733470;18 AS 20:59;Mar;2020;Sex;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
451958280;21 AS 23:59;Mai;2020;Dom;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;08ª RISP - RIO VERDE
478286310;12 AS 14:59;Ago;2020;Dom;CONSUMADO;VÍTIMA;Difamação;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
488769570;21 AS 23:59;Set;2020;Seg;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
531221130;15 AS 17:59;Dez;2020;Qui;CONSUMADO;VÍTIMA;Injúria;30 A 34;Auxiliar de Limpeza;FEMININO;PARDA;05. SUPERIOR INCOMPLETO;01ª RISP - GOIÂNIA
465357150;9 AS 11:59;Jul;2020;Sex;CONSUMADO;VÍTIMA;Injúria;35 A 64;Empregada Doméstica;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;02ª RISP - APARECIDA DE GOIÂNIA
461948010;18 AS 20:59;Jun;2020;Ter;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;01ª RISP - GOIÂNIA
493681290;21 AS 23:59;Set;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;PARDA;Não Informado;01ª RISP - GOIÂNIA
418624980;6 AS 8:59;Fev;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;35 A 64;Auxiliar de Serviços Gerais;FEMININO;NÃO INFORMADO;Não Informado;19ª RISP - CALDAS NOVAS
407274960;9 AS 11:59;Jan;2020;Quar;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NEGRA;Não Informado;05ª RISP - LUZIÂNIA
492593610;15 AS 17:59;Set;2020;Qui;CONSUMADO;VÍTIMA;Calúnia;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
408571590;0 AS 2:59;Jan;2020;Dom;CONSUMADO;VÍTIMA;Injúria;65 OU +;Aposentado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
404393010;6 AS 8:59;Jan;2020;Quar;CONSUMADO;VÍTIMA;Injúria;12 A 17;Estudante;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
407932500;18 AS 20:59;Jan;2020;Sex;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
455569260;15 AS 17:59;Jun;2020;Sex;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;02. FUNDAMENTAL COMPLETO;17ª RISP - ÁGUAS LINDAS
498936600;21 AS 23:59;Out;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;35 A 64;Autônomo;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;17ª RISP - ÁGUAS LINDAS
499330680;9 AS 11:59;Out;2020;Seg;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;17ª RISP - ÁGUAS LINDAS
527439180;21 AS 23:59;Nov;2020;Dom;CONSUMADO;VÍTIMA;Injúria;18 A 24;Auxiliar de Saúde Bucal;FEMININO;PARDA;Não Informado;17ª RISP - ÁGUAS LINDAS
414579210;12 AS 14:59;Fev;2020;Quar;CONSUMADO;VÍTIMA;Injúria;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
496177200;18 AS 20:59;Set;2020;Dom;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
514457040;12 AS 14:59;Nov;2020;Ter;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
400516530;18 AS 20:59;Jan;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;30 A 34;Do Lar;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
417202650;18 AS 20:59;Fev;2020;Ter;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
424728900;15 AS 17:59;Mar;2020;Dom;CONSUMADO;VÍTIMA;Injúria;25 A 29;Do Lar;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
425600310;12 AS 14:59;Mar;2020;Ter;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
436279260;15 AS 17:59;Abr;2020;Dom;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
436593960;15 AS 17:59;Abr;2020;Seg;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
446518230;0 AS 2:59;Mai;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;06. SUPERIOR COMPLETO;17ª RISP - ÁGUAS LINDAS
450705270;3 AS 5:59;Mai;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;18 A 24;Estudante;FEMININO;NÃO INFORMADO;03. MÉDIO INCOMPLETO;17ª RISP - ÁGUAS LINDAS
454203750;18 AS 20:59;Jun;2020;Seg;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
455204070;12 AS 14:59;Jun;2020;Qui;CONSUMADO;VÍTIMA;Injúria;18 A 24;Do Lar;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
462569460;0 AS 2:59;Jun;2020;Qui;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
467436450;6 AS 8:59;Jul;2020;Qui;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;06. SUPERIOR COMPLETO;17ª RISP - ÁGUAS LINDAS
498787590;21 AS 23:59;Out;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
500223000;21 AS 23:59;Out;2020;Qui;CONSUMADO;VÍTIMA;Injúria;30 A 34;Não Informado;FEMININO;PARDA;Não Informado;17ª RISP - ÁGUAS LINDAS
522018540;15 AS 17:59;Dez;2020;Seg;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;BRANCA;06. SUPERIOR COMPLETO;17ª RISP - ÁGUAS LINDAS
534807900;15 AS 17:59;Jan;2020;Sex;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;17ª RISP - ÁGUAS LINDAS
480866730;15 AS 17:59;Ago;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;11ª RISP - FORMOSA
523031730;9 AS 11:59;Dez;2020;Qui;CONSUMADO;VÍTIMA;Difamação;35 A 64;Vigilante;FEMININO;PARDA;Não Informado;05ª RISP - LUZIÂNIA
493566030;18 AS 20:59;Set;2020;Dom;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
494186040;9 AS 11:59;Set;2020;Ter;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
465167460;18 AS 20:59;Abr;2020;Qui;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
494052870;21 AS 23:59;Set;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
497905050;21 AS 23:59;Set;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;06ª RISP - ITUMBIARA
509028360;12 AS 14:59;Nov;2020;Seg;CONSUMADO;VÍTIMA;Injúria;65 OU +;Não Informado;FEMININO;PARDA;Não Informado;01ª RISP - GOIÂNIA
510988140;18 AS 20:59;Nov;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;25 A 29;Autônomo;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;01ª RISP - GOIÂNIA
514983720;15 AS 17:59;Nov;2020;Quar;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
414974190;9 AS 11:59;Fev;2020;Qui;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;01ª RISP - GOIÂNIA
450955350;18 AS 20:59;Mai;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;25 A 29;Auxiliar de Serviços Gerais;FEMININO;NÃO INFORMADO;03. MÉDIO INCOMPLETO;02ª RISP - APARECIDA DE GOIÂNIA
473614680;3 AS 5:59;Jul;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
503953020;15 AS 17:59;Set;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Do Lar;FEMININO;NÃO INFORMADO;02. FUNDAMENTAL COMPLETO;17ª RISP - ÁGUAS LINDAS
509813100;0 AS 2:59;Nov;2020;Quar;CONSUMADO;VÍTIMA;Injúria;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
477971310;6 AS 8:59;Ago;2020;Dom;CONSUMADO;VÍTIMA;Injúria;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;05ª RISP - LUZIÂNIA
513928590;21 AS 23:59;Nov;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;PARDA;Não Informado;05ª RISP - LUZIÂNIA
453591630;21 AS 23:59;Mai;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;25 A 29;Autônomo;FEMININO;NÃO INFORMADO;05. SUPERIOR INCOMPLETO;01ª RISP - GOIÂNIA
438402090;18 AS 20:59;Abr;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;35 A 64;Do Lar;FEMININO;NÃO INFORMADO;03. MÉDIO INCOMPLETO;14ª RISP - JATAÍ
452968860;15 AS 17:59;Mai;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;00. NÃO-ALFABETIZADO;08ª RISP - RIO VERDE
467624520;21 AS 23:59;Jul;2020;Qui;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;14ª RISP - JATAÍ
472251090;15 AS 17:59;Jul;2020;Qui;CONSUMADO;VÍTIMA;Injúria;25 A 29;Balconista;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;14ª RISP - JATAÍ
506663790;6 AS 8:59;Out;2020;Ter;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;14ª RISP - JATAÍ
430223970;18 AS 20:59;Mar;2020;Ter;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;19ª RISP - CALDAS NOVAS
489239160;0 AS 2:59;Set;2020;Dom;CONSUMADO;VÍTIMA;Injúria;18 A 24;Cabeleireiro;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;14ª RISP - JATAÍ
506815350;18 AS 20:59;Out;2020;Quar;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;14ª RISP - JATAÍ
411190470;9 AS 11:59;Fev;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;02ª RISP - APARECIDA DE GOIÂNIA
522385170;21 AS 23:59;Dez;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;65 OU +;Não Informado;FEMININO;BRANCA;Não Informado;17ª RISP - ÁGUAS LINDAS
514919670;21 AS 23:59;Nov;2020;Sex;CONSUMADO;VÍTIMA;Injúria;35 A 64;Desempregado;FEMININO;NEGRA;04. MÉDIO COMPLETO;01ª RISP - GOIÂNIA
474500520;18 AS 20:59;Jul;2020;Ter;CONSUMADO;VÍTIMA;Injúria;65 OU +;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;11ª RISP - FORMOSA
526169640;12 AS 14:59;Dez;2020;Quar;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
527925360;0 AS 2:59;Dez;2020;Ter;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;PARDA;01. FUNDAMENTAL INCOMPLETO;05ª RISP - LUZIÂNIA
460476960;12 AS 14:59;Jun;2020;Sex;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;06ª RISP - ITUMBIARA
410184540;12 AS 14:59;Jan;2020;Sáb;CONSUMADO;VÍTIMA;Difamação;35 A 64;Corretor de Imóveis;FEMININO;NÃO INFORMADO;05. SUPERIOR INCOMPLETO;05ª RISP - LUZIÂNIA
402200820;21 AS 23:59;Jan;2020;Quar;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;12ª RISP - PORANGATU
485996730;9 AS 11:59;Ago;2020;Seg;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
411252630;21 AS 23:59;Fev;2020;Dom;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;13ª RISP - POSSE
416008500;21 AS 23:59;Fev;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;13ª RISP - POSSE
416172300;12 AS 14:59;Fev;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;13ª RISP - POSSE
471088980;18 AS 20:59;Jul;2020;Dom;CONSUMADO;VÍTIMA;Injúria;12 A 17;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;13ª RISP - POSSE
476535810;15 AS 17:59;Ago;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;PARDA;Não Informado;08ª RISP - RIO VERDE
498988740;18 AS 20:59;Out;2020;Dom;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;13ª RISP - POSSE
499350540;12 AS 14:59;Out;2020;Seg;CONSUMADO;VÍTIMA;Injúria;18 A 24;Balconista de Padaria;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;05ª RISP - LUZIÂNIA
516172590;21 AS 23:59;Nov;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;PARDA;Não Informado;13ª RISP - POSSE
446886060;15 AS 17:59;Mai;2020;Seg;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;13ª RISP - POSSE
524697960;15 AS 17:59;Nov;2020;Sex;CONSUMADO;VÍTIMA;Difamação;35 A 64;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;13ª RISP - POSSE
527698590;18 AS 20:59;Nov;2020;Dom;CONSUMADO;VÍTIMA;Injúria;12 A 17;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;13ª RISP - POSSE
476194770;15 AS 17:59;Ago;2020;Seg;CONSUMADO;VÍTIMA;Difamação;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;13ª RISP - POSSE
410642550;21 AS 23:59;Jan;2020;Sex;CONSUMADO;VÍTIMA;Injúria;35 A 64;Manicure e Pedicure;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
489920640;0 AS 2:59;Set;2020;Sex;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;08ª RISP - RIO VERDE
422406750;18 AS 20:59;Mar;2020;Seg;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;11ª RISP - FORMOSA
524114040;18 AS 20:59;Dez;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;PARDA;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
403979100;12 AS 14:59;Jan;2020;Seg;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
427029060;3 AS 5:59;Mar;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;04ª RISP - CIDADE DE GOIÁS
462940020;12 AS 14:59;Jun;2020;Sex;CONSUMADO;VÍTIMA;Injúria;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
532513860;0 AS 2:59;Jan;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Do Lar;FEMININO;NEGRA;Não Informado;17ª RISP - ÁGUAS LINDAS
421576080;3 AS 5:59;Mar;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
447235890;0 AS 2:59;Mai;2020;Quar;CONSUMADO;VÍTIMA;Injúria;35 A 64;AUXILIAR DE OPERADOR;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;01ª RISP - GOIÂNIA
423577830;21 AS 23:59;Mar;2020;Qui;CONSUMADO;VÍTIMA;Injúria;35 A 64;Do Lar;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;07ª RISP - IPORÁ
450405300;18 AS 20:59;Mai;2020;Seg;CONSUMADO;VÍTIMA;Injúria;25 A 29;Vendedor;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
454711320;9 AS 11:59;Abr;2020;Sáb;CONSUMADO;VÍTIMA;Injúria;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;07ª RISP - IPORÁ
480933570;0 AS 2:59;Jun;2020;Seg;CONSUMADO;VÍTIMA;Injúria;18 A 24;Do Lar;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
465285780;21 AS 23:59;Jul;2020;Qui;CONSUMADO;VÍTIMA;Injúria;35 A 64;Empregada Doméstica;FEMININO;NÃO INFORMADO;02. FUNDAMENTAL COMPLETO;07ª RISP - IPORÁ
501844530;9 AS 11:59;Out;2020;Ter;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
453737250;12 AS 14:59;Mai;2020;Dom;CONSUMADO;VÍTIMA;Injúria;25 A 29;Atendente;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;01ª RISP - GOIÂNIA
400875180;18 AS 20:59;Jan;2020;Dom;CONSUMADO;VÍTIMA;Injúria;12 A 17;Não Informado;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;03ª RISP - ANÁPOLIS
401073570;21 AS 23:59;Jan;2020;Dom;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
402537630;15 AS 17:59;Jan;2020;Sex;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
402565020;12 AS 14:59;Jan;2020;Sex;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
406040190;21 AS 23:59;Jan;2020;Qui;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
408588930;0 AS 2:59;Jan;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Do Lar;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;01ª RISP - GOIÂNIA
408430890;18 AS 20:59;Jan;2020;Dom;CONSUMADO;VÍTIMA;Injúria;25 A 29;Gerente Comercial;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
410291850;12 AS 14:59;Jan;2020;Qui;CONSUMADO;VÍTIMA;Injúria;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
409865760;12 AS 14:59;Jan;2020;Quar;CONSUMADO;VÍTIMA;Difamação;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
411210180;9 AS 11:59;Jan;2020;Dom;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
412337790;18 AS 20:59;Fev;2020;Quar;CONSUMADO;VÍTIMA;Injúria;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
412798500;15 AS 17:59;Fev;2020;Sex;CONSUMADO;VÍTIMA;Injúria;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;03ª RISP - ANÁPOLIS
415340970;18 AS 20:59;Fev;2020;Seg;CONSUMADO;VÍTIMA;Difamação;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;02. FUNDAMENTAL COMPLETO;15ª RISP - GOIANÉSIA
415405050;12 AS 14:59;Fev;2020;Sex;CONSUMADO;VÍTIMA;Injúria;35 A 64;Autônomo;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;05ª RISP - LUZIÂNIA
415429290;9 AS 11:59;Jan;2020;Dom;CONSUMADO;VÍTIMA;Injúria;35 A 64;Massoterapeuta;FEMININO;NÃO INFORMADO;Não Informado;19ª RISP - CALDAS NOVAS
