ID;Faixa Horário;Mês do Fato;Ano do Fato;Dia da Semana;CONSUMAÇÃO;QUALIFICACAO_CATEGORIA;UF;GRUPO NATUREZA;Faixa Etária;PROFISSAO;SEXO;Cor;Grau de Instrução;RISP
443724060;0 AS 2:59;Mai;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Do Lar;FEMININO;PARDA;02. FUNDAMENTAL COMPLETO;08ª RISP - RIO VERDE
458526540;0 AS 2:59;Jun;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
460573350;18 AS 20:59;Jun;2020;Sex;CONSUMADO;VÍTIMA;GO;Feminicídio;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
518099010;6 AS 8:59;Nov;2020;Sex;CONSUMADO;VÍTIMA;GO;Feminicídio;25 A 29;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;11ª RISP - FORMOSA
530039400;21 AS 23:59;Dez;2020;Seg;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;07ª RISP - IPORÁ
410987910;18 AS 20:59;Fev;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
414788850;21 AS 23:59;Fev;2020;Quar;CONSUMADO;VÍTIMA;GO;Feminicídio;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
415632420;0 AS 2:59;Fev;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;16ª RISP - TRINDADE
438954900;9 AS 11:59;Abr;2020;Seg;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;09ª RISP - CATALÃO
441264960;0 AS 2:59;Abr;2020;Seg;CONSUMADO;VÍTIMA;GO;Feminicídio;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
430899360;6 AS 8:59;Mar;2020;Sex;CONSUMADO;VÍTIMA;GO;Feminicídio;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
447816090;9 AS 11:59;Mai;2020;Sex;CONSUMADO;VÍTIMA;GO;Feminicídio;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
457088880;18 AS 20:59;Jun;2020;Ter;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;09ª RISP - CATALÃO
462780090;3 AS 5:59;Jun;2020;Sex;CONSUMADO;VÍTIMA;GO;Feminicídio;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
472991130;18 AS 20:59;Jul;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
434468070;12 AS 14:59;Mar;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;16ª RISP - TRINDADE
479058000;12 AS 14:59;Ago;2020;Quar;CONSUMADO;VÍTIMA;GO;Feminicídio;NAO INF;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;07ª RISP - IPORÁ
498510000;6 AS 8:59;Out;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Do Lar;FEMININO;NEGRA;Não Informado;10ª RISP - CERES
520803060;12 AS 14:59;Dez;2020;Sex;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;01ª RISP - GOIÂNIA
475427910;21 AS 23:59;Ago;2020;Sáb;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;NEGRA;Não Informado;19ª RISP - CALDAS NOVAS
516443880;18 AS 20:59;Nov;2020;Dom;CONSUMADO;VÍTIMA;GO;Feminicídio;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;05ª RISP - LUZIÂNIA
