ID;Faixa Horário;Mês do Fato;Ano do Fato;Dia da Semana;CONSUMAÇÃO;QUALIFICACAO_CATEGORIA;UF;GRUPO NATUREZA;NATUREZA;Faixa Etária;PROFISSAO;SEXO;Cor;Grau de Instrução;RISP
411288390;18 AS 20:59;Fev;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Empregada Doméstica;FEMININO;NÃO INFORMADO;00. NÃO-ALFABETIZADO;17ª RISP - ÁGUAS LINDAS
433791780;0 AS 2:59;Abr;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
403619460;0 AS 2:59;Jan;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;12 A 17;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
421285050;12 AS 14:59;Fev;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Não Informado;FEMININO;PARDA;99. NÃO INFORMADO;14ª RISP - JATAÍ
423733470;18 AS 20:59;Mar;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
424586370;0 AS 2:59;Mar;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;25 A 29;Do Lar;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;08ª RISP - RIO VERDE
424743750;6 AS 8:59;Mar;2020;Seg;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
425827620;9 AS 11:59;Fev;2020;Seg;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;12 A 17;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
426247140;9 AS 11:59;Mar;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
427607220;12 AS 14:59;Mar;2020;Seg;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;07ª RISP - IPORÁ
436049280;21 AS 23:59;Abr;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;12 A 17;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
446279700;18 AS 20:59;Mai;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
470202240;6 AS 8:59;Jul;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;12 A 17;Não Informado;FEMININO;BRANCA;01. FUNDAMENTAL INCOMPLETO;08ª RISP - RIO VERDE
470960430;15 AS 17:59;Jul;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
480395370;21 AS 23:59;Ago;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;12 A 17;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
482974860;6 AS 8:59;Ago;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
483327570;6 AS 8:59;Ago;2020;Seg;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;08ª RISP - RIO VERDE
488769570;21 AS 23:59;Set;2020;Seg;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
498142230;0 AS 2:59;Out;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Não Informado;FEMININO;BRANCA;Não Informado;08ª RISP - RIO VERDE
498508170;6 AS 8:59;Out;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Não Informado;FEMININO;PARDA;Não Informado;01ª RISP - GOIÂNIA
501549300;18 AS 20:59;Out;2020;Seg;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NEGRA;Não Informado;08ª RISP - RIO VERDE
506165730;18 AS 20:59;Out;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;12 A 17;Não Informado;FEMININO;BRANCA;Não Informado;08ª RISP - RIO VERDE
509185650;21 AS 23:59;Nov;2020;Seg;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;07ª RISP - IPORÁ
510325830;0 AS 2:59;Nov;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;25 A 29;Não Informado;FEMININO;AMARELA;Não Informado;08ª RISP - RIO VERDE
514907160;18 AS 20:59;Out;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;PARDA;Não Informado;08ª RISP - RIO VERDE
518296650;18 AS 20:59;Nov;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;06ª RISP - ITUMBIARA
531221130;15 AS 17:59;Dez;2020;Qui;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Auxiliar de Limpeza;FEMININO;PARDA;05. SUPERIOR INCOMPLETO;01ª RISP - GOIÂNIA
554093880;12 AS 14:59;Nov;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;NAO INF;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;08ª RISP - RIO VERDE
493681290;21 AS 23:59;Set;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;PARDA;Não Informado;01ª RISP - GOIÂNIA
436510770;0 AS 2:59;Abr;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;35 A 64;Jornalista;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;02ª RISP - APARECIDA DE GOIÂNIA
404401440;15 AS 17:59;Jan;2020;Quar;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;12 A 17;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;16ª RISP - TRINDADE
406649190;21 AS 23:59;Jan;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;19ª RISP - CALDAS NOVAS
416323200;21 AS 23:59;Fev;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;99. NÃO INFORMADO;01ª RISP - GOIÂNIA
513626160;18 AS 20:59;Nov;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Secretário Executivo;FEMININO;PARDA;05. SUPERIOR INCOMPLETO;05ª RISP - LUZIÂNIA
444544050;21 AS 23:59;Mai;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;65 OU +;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
404393010;6 AS 8:59;Jan;2020;Quar;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;12 A 17;Estudante;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
475293810;15 AS 17:59;Ago;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;12 A 17;Estudante;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
490181940;18 AS 20:59;Set;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;02. FUNDAMENTAL COMPLETO;17ª RISP - ÁGUAS LINDAS
499330680;9 AS 11:59;Out;2020;Seg;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;18 A 24;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;17ª RISP - ÁGUAS LINDAS
521247660;9 AS 11:59;Dez;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Autônomo;FEMININO;BRANCA;03. MÉDIO INCOMPLETO;11ª RISP - FORMOSA
527439180;21 AS 23:59;Nov;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Auxiliar de Saúde Bucal;FEMININO;PARDA;Não Informado;17ª RISP - ÁGUAS LINDAS
492956550;6 AS 8:59;Set;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;35 A 64;Autônomo;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;08ª RISP - RIO VERDE
414579210;12 AS 14:59;Fev;2020;Quar;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
492073290;18 AS 20:59;Set;2020;Quar;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
529591290;15 AS 17:59;Dez;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;01ª RISP - GOIÂNIA
423936000;9 AS 11:59;Mar;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Empregada Doméstica;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;05ª RISP - LUZIÂNIA
423985380;15 AS 17:59;Mar;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Empregada Doméstica;FEMININO;NÃO INFORMADO;04. MÉDIO COMPLETO;05ª RISP - LUZIÂNIA
435721470;21 AS 23:59;Abr;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
463357320;15 AS 17:59;Jun;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
478119060;0 AS 2:59;Ago;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Operador de Produção;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
483207870;18 AS 20:59;Ago;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
496177200;18 AS 20:59;Set;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
452716560;18 AS 20:59;Mai;2020;Qui;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;05ª RISP - LUZIÂNIA
478084140;15 AS 17:59;Ago;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Do Lar;FEMININO;NÃO INFORMADO;02. FUNDAMENTAL COMPLETO;07ª RISP - IPORÁ
514457040;12 AS 14:59;Nov;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
400516530;18 AS 20:59;Jan;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Do Lar;FEMININO;NÃO INFORMADO;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
431206590;0 AS 2:59;Mar;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Atendente;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
436279260;15 AS 17:59;Abr;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
436428270;21 AS 23:59;Abr;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
436593960;15 AS 17:59;Abr;2020;Seg;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
443123340;0 AS 2:59;Mai;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Atendente;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
462569460;0 AS 2:59;Jun;2020;Qui;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
479622510;18 AS 20:59;Ago;2020;Qui;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;18 A 24;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
498787590;21 AS 23:59;Out;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;02ª RISP - APARECIDA DE GOIÂNIA
500223000;21 AS 23:59;Out;2020;Qui;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Não Informado;FEMININO;PARDA;Não Informado;17ª RISP - ÁGUAS LINDAS
516984630;9 AS 11:59;Nov;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Do Lar;FEMININO;PARDA;01. FUNDAMENTAL INCOMPLETO;17ª RISP - ÁGUAS LINDAS
493214130;15 AS 17:59;Set;2020;Sáb;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;17ª RISP - ÁGUAS LINDAS
528670860;3 AS 5:59;Dez;2020;Sex;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NEGRA;Não Informado;03ª RISP - ANÁPOLIS
484054590;18 AS 20:59;Ago;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Estudante;FEMININO;NÃO INFORMADO;Não Informado;03ª RISP - ANÁPOLIS
519944730;15 AS 17:59;Dez;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;35 A 64;Não Informado;FEMININO;NÃO INFORMADA;Não Informado;17ª RISP - ÁGUAS LINDAS
503578740;12 AS 14:59;Out;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;30 A 34;Cabeleireiro;FEMININO;PARDA;05. SUPERIOR INCOMPLETO;02ª RISP - APARECIDA DE GOIÂNIA
493566030;18 AS 20:59;Set;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;25 A 29;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;01ª RISP - GOIÂNIA
506836350;15 AS 17:59;Out;2020;Ter;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129 Caput do CPB Lesão corporal dolosa;30 A 34;Não Informado;FEMININO;NEGRA;Não Informado;05ª RISP - LUZIÂNIA
513705210;3 AS 5:59;Nov;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;PARDA;Não Informado;01ª RISP - GOIÂNIA
465167460;18 AS 20:59;Abr;2020;Qui;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;NÃO INFORMADO;Não Informado;08ª RISP - RIO VERDE
497905050;21 AS 23:59;Set;2020;Dom;CONSUMADO;VÍTIMA;GO;Lesão corporal;Art. 129, § 9° do CPB Lesão corporal dolosa - Violência Doméstica;35 A 64;Não Informado;FEMININO;BRANCA;Não Informado;06ª RISP - ITUMBIARA
